NMAX, WALL TIME MEAN [s], WALL TIME SD [s], PFLOPS MEAN, PFLOPS SD
1500, 0.09, 0.01, 38.299, 1.557
2000, 0.20, 0.00, 92.209, 2.612
2500, 0.33, 0.01, 154.468, 4.054
3000, 0.49, 0.01, 216.728, 2.811
3500, 0.66, 0.00, 280.603, 2.436
4000, 0.85, 0.02, 336.207, 9.131
4500, 1.02, 0.01, 390.800, 4.401
5000, 1.23, 0.02, 448.643, 5.445
5500, 1.42, 0.02, 493.399, 4.240
6000, 1.65, 0.02, 546.264, 7.537
6500, 1.88, 0.02, 596.692, 6.559
7000, 2.11, 0.01, 643.778, 5.177
7500, 2.36, 0.02, 697.395, 6.654
8000, 2.57, 0.02, 732.472, 9.242
8500, 2.82, 0.03, 772.128, 10.674
9000, 3.06, 0.03, 817.634, 7.879
9500, 3.30, 0.05, 849.103, 6.758
10000, 3.53, 0.05, 885.970, 7.762
