x, y, z
0.000000, 0.000000, 0.000000
0.000000, 0.000217, 0.000000
0.000000, 0.000434, 0.000000
0.000000, 0.000651, 0.000000
0.000000, 0.000868, 0.000000
0.000000, 0.001085, 0.000000
0.000000, 0.001303, 0.000000
0.000000, 0.001520, 0.000000
0.000000, 0.001737, 0.000000
0.000000, 0.001954, 0.000000
0.000217, 0.000000, 0.000000
0.000217, 0.000217, 0.000000
0.000217, 0.000434, 0.000000
0.000217, 0.000651, 0.000000
0.000217, 0.000868, 0.000000
0.000217, 0.001085, 0.000000
0.000217, 0.001303, 0.000000
0.000217, 0.001520, 0.000000
0.000217, 0.001737, 0.000000
0.000217, 0.001954, 0.000000
0.000434, 0.000000, 0.000000
0.000434, 0.000217, 0.000000
0.000434, 0.000434, 0.000000
0.000434, 0.000651, 0.000000
0.000434, 0.000868, 0.000000
0.000434, 0.001085, 0.000000
0.000434, 0.001303, 0.000000
0.000434, 0.001520, 0.000000
0.000434, 0.001737, 0.000000
0.000434, 0.001954, 0.000000
0.000651, 0.000000, 0.000000
0.000651, 0.000217, 0.000000
0.000651, 0.000434, 0.000000
0.000651, 0.000651, 0.000000
0.000651, 0.000868, 0.000000
0.000651, 0.001085, 0.000000
0.000651, 0.001303, 0.000000
0.000651, 0.001520, 0.000000
0.000651, 0.001737, 0.000000
0.000651, 0.001954, 0.000000
0.000868, 0.000000, 0.000000
0.000868, 0.000217, 0.000000
0.000868, 0.000434, 0.000000
0.000868, 0.000651, 0.000000
0.000868, 0.000868, 0.000000
0.000868, 0.001085, 0.000000
0.000868, 0.001303, 0.000000
0.000868, 0.001520, 0.000000
0.000868, 0.001737, 0.000000
0.000868, 0.001954, 0.000000
0.001085, 0.000000, 0.000000
0.001085, 0.000217, 0.000000
0.001085, 0.000434, 0.000000
0.001085, 0.000651, 0.000000
0.001085, 0.000868, 0.000000
0.001085, 0.001085, 0.000000
0.001085, 0.001303, 0.000000
0.001085, 0.001520, 0.000000
0.001085, 0.001737, 0.000000
0.001085, 0.001954, 0.000000
0.001303, 0.000000, 0.000000
0.001303, 0.000217, 0.000000
0.001303, 0.000434, 0.000000
0.001303, 0.000651, 0.000000
0.001303, 0.000868, 0.000000
0.001303, 0.001085, 0.000000
0.001303, 0.001303, 0.000000
0.001303, 0.001520, 0.000000
0.001303, 0.001737, 0.000000
0.001303, 0.001954, 0.000000
0.001520, 0.000000, 0.000000
0.001520, 0.000217, 0.000000
0.001520, 0.000434, 0.000000
0.001520, 0.000651, 0.000000
0.001520, 0.000868, 0.000000
0.001520, 0.001085, 0.000000
0.001520, 0.001303, 0.000000
0.001520, 0.001520, 0.000000
0.001520, 0.001737, 0.000000
0.001520, 0.001954, 0.000000
0.001737, 0.000000, 0.000000
0.001737, 0.000217, 0.000000
0.001737, 0.000434, 0.000000
0.001737, 0.000651, 0.000000
0.001737, 0.000868, 0.000000
0.001737, 0.001085, 0.000000
0.001737, 0.001303, 0.000000
0.001737, 0.001520, 0.000000
0.001737, 0.001737, 0.000000
0.001737, 0.001954, 0.000000
0.001954, 0.000000, 0.000000
0.001954, 0.000217, 0.000000
0.001954, 0.000434, 0.000000
0.001954, 0.000651, 0.000000
0.001954, 0.000868, 0.000000
0.001954, 0.001085, 0.000000
0.001954, 0.001303, 0.000000
0.001954, 0.001520, 0.000000
0.001954, 0.001737, 0.000000
0.001954, 0.001954, 0.000000
