NMAX, WALL TIME MEAN [s], WALL TIME SD [s], PFLOPS MEAN, PFLOPS SD
1500, 0.11, 0.00, 49.005, 1.175
2000, 0.27, 0.00, 108.696, 1.482
2500, 0.47, 0.00, 179.334, 1.402
3000, 0.70, 0.01, 241.539, 3.507
3500, 0.98, 0.01, 309.105, 2.560
4000, 1.24, 0.00, 369.672, 1.774
4500, 1.56, 0.01, 431.952, 3.734
5000, 1.90, 0.01, 490.534, 3.121
5500, 2.26, 0.01, 544.599, 2.960
6000, 2.62, 0.01, 600.525, 3.453
6500, 3.02, 0.01, 646.833, 1.341
7000, 3.38, 0.01, 695.805, 1.855
7500, 3.78, 0.01, 747.155, 3.573
8000, 4.15, 0.02, 788.237, 5.043
8500, 4.57, 0.01, 831.059, 3.006
9000, 4.97, 0.01, 870.006, 3.475
9500, 5.41, 0.01, 903.068, 4.244
10000, 5.78, 0.02, 942.590, 3.667
