NMAX, WALL TIME MEAN [s], WALL TIME SD [s], PFLOPS MEAN, PFLOPS SD
1500, 0.09, 0.00, 44.705, 0.911
2000, 0.22, 0.01, 102.613, 2.564
2500, 0.36, 0.01, 165.744, 4.833
3000, 0.53, 0.01, 229.285, 3.675
3500, 0.72, 0.01, 298.575, 3.989
4000, 0.92, 0.01, 356.234, 6.769
4500, 1.12, 0.01, 410.714, 7.480
5000, 1.35, 0.02, 464.629, 4.305
5500, 1.60, 0.01, 520.941, 8.068
6000, 1.85, 0.03, 570.470, 2.568
6500, 2.13, 0.00, 625.824, 2.653
7000, 2.39, 0.01, 672.991, 6.734
7500, 2.68, 0.02, 718.356, 6.718
8000, 2.96, 0.02, 763.444, 5.792
8500, 3.25, 0.02, 801.648, 9.679
9000, 3.52, 0.02, 844.482, 6.225
9500, 3.81, 0.04, 881.400, 9.090
10000, 4.10, 0.03, 917.032, 7.915
